replicateid,zone,population,access,beta,eir,pfpr2to10
16281,1,10818,0.616,0.039,1.69825083333333,10.0042433333333
16287,1,10818,0.616,0.042,1.991535,10.3105158333333
14481,1,10818,0.616,0.05,2.44034333333333,10.3419225
16314,1,10818,0.616,0.045,2.1252175,10.8021641666667
16316,1,10818,0.616,0.047,2.18913,11.0302666666667
16285,1,10818,0.616,0.048,2.49530583333333,11.33281
15923,1,10818,0.616,0.06,3.69427416666667,14.0273675
15924,1,10818,0.616,0.07,4.02490666666667,14.2462808333333
15928,1,10818,0.616,0.08,4.36551666666667,17.4523941666667
15929,1,10818,0.616,0.09,5.105185,17.9572508333333
14473,1,10818,0.616,0.10,6.08674416666667,19.5763833333333
15926,1,10818,0.616,0.11,7.0998025,21.2278166666667
15932,1,10818,0.616,0.13,8.33056083333333,22.9734166666667
15927,1,10818,0.616,0.12,8.22459833333333,23.3787166666667
15933,1,10818,0.616,0.14,10.1924458333333,23.380025
14479,1,10818,0.616,0.15,10.2874241666667,25.3599916666667
15938,1,10818,0.616,0.16,10.3358833333333,27.233825
15943,1,10818,0.616,0.17,11.3357333333333,27.5037
15952,1,10818,0.616,0.18,11.2722333333333,28.965175
15931,1,10818,0.616,0.21,15.3633,30.2168666666667
14487,1,10818,0.616,0.20,14.3807666666667,30.7542416666667
15937,1,10818,0.616,0.22,15.7755083333333,31.835375
15934,1,10818,0.616,0.23,17.5455916666667,33.1550666666667
15953,1,10818,0.616,0.19,15.529925,33.525025
14488,1,10818,0.616,0.25,19.6912416666667,33.91695
15947,1,10818,0.616,0.24,18.846475,34.95535
15951,1,10818,0.616,0.28,21.0535833333333,36.9049833333333
15959,1,10818,0.616,0.29,24.1134333333333,37.5750833333333
15948,1,10818,0.616,0.26,21.4167666666667,38.3940833333333
15941,1,10818,0.616,0.27,21.6340833333333,38.5970083333333
14477,1,10818,0.616,0.30,25.6873166666667,39.625
14482,1,10818,0.616,0.35,29.11165,40.7298166666667
14489,1,10818,0.616,0.40,32.3150333333333,42.0396833333333
14484,1,10818,0.616,0.50,40.1375083333333,45.7915166666667
14490,1,10818,0.616,0.45,35.3032333333333,46.2200666666667
14493,1,10818,0.616,0.55,49.4166166666667,49.2468333333333
14499,1,10818,0.616,0.60,51.1485916666667,50.209
14502,1,10818,0.616,0.65,60.859875,53.8661666666667
14491,1,10818,0.616,0.70,64.3363,55.292925
14506,1,10818,0.616,0.85,84.2142333333333,55.7806333333333
14497,1,10818,0.616,0.75,77.682725,56.9060666666667
14505,1,10818,0.616,0.80,73.67645,57.340175
14483,1,10818,0.616,0.90,93.7313833333333,58.990125
14496,1,10818,0.616,1.00,106.031166666667,60.5837583333333
14520,1,10818,0.616,1.15,127.706833333333,61.8559833333333
14510,1,10818,0.616,1.05,108.419583333333,61.93755
14521,1,10818,0.616,1.20,114.190083333333,62.504075
14492,1,10818,0.616,0.95,107.896083333333,62.5791916666667
14519,1,10818,0.616,1.10,119.662583333333,62.7801333333333
14494,1,10818,0.616,1.25,135.564,63.2282833333333
14507,1,10818,0.616,1.35,152.565083333333,64.12215
14508,1,10818,0.616,1.40,146.22875,64.5357833333333
14495,1,10818,0.616,1.45,165.349416666667,65.0912416666667
14498,1,10818,0.616,1.30,142.49925,65.8922
14503,1,10818,0.616,1.50,166.739166666667,66.0008
14500,1,10818,0.616,1.70,199.53425,67.707575
14501,1,10818,0.616,1.65,186.862,67.968075
14513,1,10818,0.616,1.60,177.121666666667,68.8058
14515,1,10818,0.616,1.75,202.634916666667,69.6024083333333
14512,1,10818,0.616,1.55,183.231416666667,70.6578083333333
14516,1,10818,0.633,0.00,0.0,0.0
15967,1,10818,0.633,0.01,0.0,0.0
16299,1,10818,0.633,0.022,0.1619135,1.31877333333333
15968,1,10818,0.633,0.02,0.533756083333333,2.95351333333333
16300,1,10818,0.633,0.023,0.583456166666667,3.33141666666667
16290,1,10818,0.633,0.021,0.374241583333333,3.53585916666667
16288,1,10818,0.633,0.025,0.770994083333333,3.860455
16289,1,10818,0.633,0.024,0.68368825,4.24604916666667
16292,1,10818,0.633,0.026,0.58859875,4.6458975
16302,1,10818,0.633,0.028,0.93558325,4.6764225
15945,1,10818,0.633,0.03,1.09106916666667,5.1561
16294,1,10818,0.633,0.029,1.03593666666667,5.8207025
16301,1,10818,0.633,0.027,0.834973166666667,6.40135166666667
16297,1,10818,0.633,0.033,1.27188416666667,6.4801175
16296,1,10818,0.633,0.032,1.24744916666667,7.15059166666666
16304,1,10818,0.633,0.036,1.3805825,7.34505833333333
16295,1,10818,0.633,0.031,1.1688225,7.412065
16303,1,10818,0.633,0.035,1.66153,7.69247833333333
16311,1,10818,0.633,0.038,1.540045,7.93246583333333
15946,1,10818,0.633,0.04,1.82807583333333,8.3274075
16293,1,10818,0.633,0.034,1.47345583333333,8.354525
16305,1,10818,0.633,0.037,1.683515,8.7105825
16317,1,10818,0.633,0.039,1.82536,9.45412166666667
15939,1,10818,0.633,0.06,2.80152583333333,10.4517275
